,Unnamed: 0,Station_Name,LINE,lat,lng,numuni,num_super
0,0,Astor Pl,4-6-6 Express,40.73005400028978,-73.99106999861965,27,4
1,1,Canal St,4-6-6 Express,40.718814263587134,-74.00105471306033,17,8
2,2,50th St,1-2,40.76245599925997,-73.98598400026407,46,4
3,3,Bergen St,2-3-4,40.68611054725977,-73.99075649573565,30,2
4,4,Pennsylvania Ave,3-4,40.66471445143568,-73.89488591154061,0,3
5,5,238th St,1,40.88466700064975,-73.90087000018522,0,2
6,6,Cathedral Pkwy (110th St),A-B-C,40.80396699961484,-73.9668470005456,13,6
7,7,Kingston - Throop Aves,A-C,40.67991899941601,-73.94085899871263,12,2
8,8,65th St,E-M-R,40.74971952935675,-73.8987883783301,2,4
9,9,36th St,E-M-R,40.655143666338866,-74.00354899951809,3,0
10,10,Delancey St - Essex St,J-M-Z,40.718680742194536,-73.98807806807719,43,6
11,11,Van Siclen Ave,J-Z,40.67270999906104,-73.89035800024709,6,2
12,12,Norwood Ave,J-Z,40.68152000045683,-73.87962599910783,0,1
13,13,104th-102nd Sts,J-Z,40.695165998233726,-73.84443500029684,0,3
14,14,DeKalb Ave,B-D-N-Q-R,40.703692999616436,-73.91823200219724,11,2
15,15,Beach 105th St,A-S,40.58326843810286,-73.82758075034528,0,1
16,16,Beach 90th St,A-S,40.58809156457325,-73.8136514041963,2,2
17,17,Freeman St,2-5,40.829987446384116,-73.89175225349464,1,1
18,18,Intervale Ave,2-5,40.822142131170786,-73.89661738461645,1,0
19,19,182nd-183rd Sts,B-D,40.85609299881864,-73.90074099998965,0,3
20,20,174th-175th Sts,B-D,40.84589999983414,-73.91013600050078,0,5
21,21,167th St,B-D,40.83553699933672,-73.92139999784426,1,3
22,22,Mets - Willets Point,7-7 Express,40.75462199881262,-73.8456249984179,0,0
23,23,Junction Blvd,7-7 Express,40.74914499948836,-73.86952700103515,0,2
24,24,Flushing - Main St,7-7 Express,40.75959999915012,-73.83003000262508,5,14
25,25,Buhre Ave,6-6 Express,40.846809998885504,-73.83256900003744,0,1
26,26,3rd Ave - 138th St,6-6 Express,40.81047600117261,-73.92613800014135,1,2
27,27,Castle Hill Ave,6-6 Express,40.83425499825462,-73.85122199961472,0,3
28,28,Brooklyn Bridge - City Hall,4-5-6-6 Express,40.71306499943313,-74.0041310005885,2,3
29,29,Zerega Ave,6-6 Express,40.836488000608156,-73.84703599875441,0,2
30,30,Grand Central - 42nd St,4-5-6-6 Express,40.751431000286864,-73.97604100111508,33,4
31,31,33rd St,4-6-6 Express,40.74458699983993,-73.93099699953838,0,0
32,32,96th St,4-6-6 Express,40.784236650177654,-73.9470660219183,23,5
33,33,77th St,4-6-6 Express,40.62974166688692,-74.02550999962659,2,4
34,34,Chauncey St,J-Z,40.68285130087804,-73.91038357033376,4,1
35,35,Union St,D-N-R,40.67731566735096,-73.98310999909674,18,2
36,36,Elmhurst Ave,E-M-R,40.74237007972169,-73.88203474658641,1,8
37,37,Ralph Ave,A-C,40.678822000873375,-73.92078599933306,1,1
38,38,Pelham Pkwy,2-5,40.858984999820116,-73.85535900043564,0,1
39,39,Gun Hill Rd,2-5,40.86952599962675,-73.84638400151766,1,1
40,40,Nereid Ave (238 St),2-5,40.89828651557529,-73.8543153107622,1,2
41,41,Franklin Ave,2-3-4-5,40.68137966658742,-73.95684800014614,11,3
42,42,Simpson St,2-5,40.823976841237396,-73.89306639507903,0,2
43,43,Bronx Park East,2-5,40.84876866633893,-73.86835609178098,0,2
44,44,Winthrop St,2-5,40.65665931376077,-73.95007934590994,5,1
45,45,Van Siclen Ave,3-4,40.67270999906104,-73.89035800024709,6,2
46,46,149th St - Grand Concourse,4,40.81833014409742,-73.92672247438611,0,1
47,47,161st St - Yankee Stadium,4,40.82790499884585,-73.92565099775476,0,2
48,48,Lexington Ave - 59th St,4-5-6-6 Express,40.762708855394564,-73.96737501711436,19,4
49,49,E 149th St,6,40.81211799827203,-73.90409799875945,2,0
50,50,Morrison Av - Soundview,6,40.82952100156747,-73.87451599929486,0,2
51,51,Whitlock Ave,6,40.82652500055904,-73.8862829985325,0,2
52,52,St Lawrence Ave,6,40.8315090005233,-73.86761799923674,1,1
53,53,Woodside - 61st St,7-7 Express,40.745630001138395,-73.90298400173006,0,5
54,54,Far Rockaway - Mott Ave,A,40.60399500168753,-73.75540499924732,0,6
55,55,72nd St,A-B-C,40.76880251014895,-73.95836178682245,36,2
56,56,96th St,A-B-C,40.784236650177654,-73.9470660219183,23,5
57,57,168th St,A-C,40.84055599914853,-73.94013299907256,6,3
58,58,Kingsbridge Rd,B-D,40.867760000885795,-73.89717400101743,0,2
59,59,42nd St - Bryant Pk,B-D-F-M,40.754184001312545,-73.98459099904711,8,0
60,60,Prospect Park,B-Q-S,40.66163345510179,-73.96203130426609,14,2
61,61,55th St,D,40.631478760937455,-73.99534882595742,0,1
62,62,Jamaica - Van Wyck,E,40.70289855287314,-73.81701287135405,0,2
63,63,Kew Gardens - Union Tpke,E-F,40.71403481957103,-73.8303702709878,0,1
64,64,Sutphin Blvd - Archer Av,E-J-Z,40.700382424235,-73.80800471963833,0,3
65,65,Court Sq - 23rd St,E-M,40.747768121414325,-73.9460547026633,5,3
66,66,67th Ave,E-M-R,40.726505475813006,-73.85286048434907,1,1
67,67,Grand Ave - Newtown,E-M-R,40.73681341819713,-73.8772208566918,0,3
68,68,Ditmas Ave,F,40.63611866666291,-73.97817199965161,1,2
69,69,Classon Ave,G,40.68888900026455,-73.95999000137213,18,2
70,70,Broadway,G,40.761431998800546,-73.92582299919907,9,4
71,71,Lorimer St,L,40.703844000042096,-73.94735499884204,0,2
72,72,Sutter Ave,L,40.66914500061397,-73.9019160004208,0,4
73,73,Wilson Ave,L,40.68886654246024,-73.90395860491864,1,0
74,74,Halsey St,J,40.695518001148784,-73.90393400118631,4,1
75,75,Lorimer St,J-M,40.703844000042096,-73.94735499884204,0,2
76,76,8th Ave,N,40.73977666638199,-74.00257800104762,54,3
77,77,36th Ave,N-W,40.7564420005104,-73.929861999118,7,3
78,78,Broadway,N-W,40.761431998800546,-73.92582299919907,9,4
79,79,Times Sq - 42nd St,N-Q-R-W,40.755289999956815,-73.98749500051885,2,1
80,80,Grand Central - 42nd St,S,40.751431000286864,-73.97604100111508,33,4
81,81,Park Pl,S,40.713050999077694,-74.00881099997359,5,3
82,82,111th St,A-S,40.697114810696476,-73.83679338454697,0,2
83,83,W 4th St - Washington Sq (Lower),B-D-F-M,40.73225449336788,-74.00030814755975,48,2
84,84,51st St,4-6-6 Express,40.75710699989315,-73.97192000069981,9,1
85,85,86th St,1-2,40.77786104333163,-73.95177090964917,37,5
86,86,233rd St,2-5,40.89314324138378,-73.85736239521543,0,3
87,87,66th St - Lincoln Ctr,1-2,40.77344000052039,-73.98220899995783,13,0
88,88,Hunts Point Ave,6-6 Express,40.82094799852307,-73.89054900017344,0,2
89,89,Canal St,1-2,40.718814263587134,-74.00105471306033,17,8
90,90,Middletown Rd,6-6 Express,40.843863001283815,-73.83632199755944,0,0
91,91,23rd St,4-6-6 Express,40.74590599939995,-73.99804100117201,26,4
92,92,Court Sq,7-7 Express,40.74702299889643,-73.94526400039679,5,3
93,93,59th St - Columbus Circle,1-2,40.768249531776064,-73.98164872301399,21,6
94,94,Hunters Point Ave,7-7 Express,40.742215999863156,-73.9489160009391,4,0
95,95,23rd St,1-2,40.74590599939995,-73.99804100117201,26,4
96,96,Houston St,1-2,40.72825100073021,-74.00536700180581,28,3
97,97,104th St,A-S,40.6817110010912,-73.83768300060997,0,4
98,98,Broad Channel,A-S,40.60840218069683,-73.81583268782963,0,0
99,99,Ocean Pkwy,Q,40.57631166708091,-73.96850099975177,1,1
100,100,Vernon Blvd - Jackson Ave,7-7 Express,40.742625999697495,-73.95358099875249,8,1
101,101,68th St - Hunter College,4-6-6 Express,40.76814100049679,-73.96387000158042,16,2
102,102,Queensboro Plz,7-7 Express-N-W,40.7506356510148,-73.9401635351909,10,2
103,103,Rockaway Blvd,A-S,40.680428999588415,-73.8438529979573,1,1
104,104,Union Sq - 14th St,4-5-6-6 Express,40.734763312179226,-73.99066976901818,15,4
105,105,Bedford - Nostrand Aves,G,40.68962700158444,-73.95352200064022,26,3
106,106,15th St - Prospect Park,F-G,40.66003568810021,-73.97973580592874,4,2
107,107,7th Ave,F-G,40.76297015245628,-73.98169782344476,26,5
108,108,Ft Hamilton Pkwy,F-G,40.640912711444656,-73.9942022375285,1,0
