,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.location.neighborhood,venue.venuePage.id,Station,LINE
0,e-0-4a98599ef964a520a62b20e3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4a98599ef964a520a62b20e3,Sunrise Mart,4 Stuyvesant St,40.73014952006944,-73.9894475421091,"[{'label': 'display', 'lat': 40.73014952006944, 'lng': -73.9894475421091}, {'label': 'entrance', 'lat': 40.729747, 'lng': -73.989557}]",137,10003,US,New York,NY,United States,"['4 Stuyvesant St (btwn 2nd & 3rd Ave)', 'New York, NY 10003', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn 2nd & 3rd Ave,,,,,,,,95825975,Astor Pl,4-6-6 Express
1,e-0-441a8599f964a52036311fe3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",441a8599f964a52036311fe3,Trader Joe's,142 E 14th St,40.73351486923294,-73.98772179803069,"[{'label': 'display', 'lat': 40.73351486923294, 'lng': -73.98772179803069}]",477,10003,US,New York,NY,United States,"['142 E 14th St (btwn Irving Pl & 3rd Ave)', 'New York, NY 10003', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Irving Pl & 3rd Ave,,,,,,,,,Astor Pl,4-6-6 Express
2,e-0-4b8d2319f964a520c8e932e3-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b8d2319f964a520c8e932e3,Gristedes Supermarkets,25 University Pl,40.731976756608574,-73.99455254997409,"[{'label': 'display', 'lat': 40.731976756608574, 'lng': -73.99455254997409}]",363,10003,US,New York,NY,United States,"['25 University Pl (btwn 8th & 9th St)', 'New York, NY 10003', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn 8th & 9th St,1007888,https://www.seamless.com/menu/gristedes-supermarket-82-25-university-pl-new-york/1007888?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1007888,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,,,Astor Pl,4-6-6 Express
3,e-0-45b3d761f964a520b1411fe3-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",45b3d761f964a520b1411fe3,Food Emporium,10 Union Sq E,40.73434079522086,-73.98953089995885,"[{'label': 'display', 'lat': 40.73434079522086, 'lng': -73.98953089995885}, {'label': 'entrance', 'lat': 40.734894, 'lng': -73.989806}]",494,10003,US,New York,NY,United States,"['10 Union Sq E (E 14th St)', 'New York, NY 10003', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],E 14th St,,,,,,,,,Astor Pl,4-6-6 Express
0,e-0-4b5cae76f964a520203e29e3-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b5cae76f964a520203e29e3,New Kam Man,200 Canal St,40.71697342168782,-73.99830174004558,"[{'label': 'display', 'lat': 40.71697342168782, 'lng': -73.99830174004558}]",309,10013,US,New York,NY,United States,"['200 Canal St (btwn Mott & Mulberry St.)', 'New York, NY 10013', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Mott & Mulberry St.,,,,,,,,46802950,Canal St,4-6-6 Express
1,e-0-4ae4bf7ef964a520bf9d21e3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ae4bf7ef964a520bf9d21e3,Hong Kong Supermarket 香港超級市場,157 Hester St,40.717595732385966,-73.99617253722293,"[{'label': 'display', 'lat': 40.717595732385966, 'lng': -73.99617253722293}]",433,10013,US,New York,NY,United States,"['157 Hester St (btwn Bowery & Elizabeth St)', 'New York, NY 10013', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b46', 'name': 'Supermarket', 'pluralName': 'Supermarkets', 'shortName': 'Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Bowery & Elizabeth St,,,,,,,Chinatown,,Canal St,4-6-6 Express
2,e-0-4b5b6ddcf964a5205ffd28e3-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b5b6ddcf964a5205ffd28e3,Deluxe Food Market 德昌食品市場,79 Elizabeth St,40.718194291784535,-73.99683841675501,"[{'label': 'display', 'lat': 40.718194291784535, 'lng': -73.99683841675501}, {'label': 'entrance', 'lat': 40.717977, 'lng': -73.996195}]",362,10013,US,New York,NY,United States,"['79 Elizabeth St (btwn Grand & Hester St)', 'New York, NY 10013', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Grand & Hester St,,,,,,,,,Canal St,4-6-6 Express
3,e-0-4e358975c65b2313e28e56c7-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4e358975c65b2313e28e56c7,iFresh Market,128 Mott St,40.71862225497523,-73.99657123040663,"[{'label': 'display', 'lat': 40.71862225497523, 'lng': -73.99657123040663}]",378,10013,US,New York,NY,United States,"['128 Mott St (btwn Grand & Hester St)', 'New York, NY 10013', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Grand & Hester St,,,,,,,Chinatown,,Canal St,4-6-6 Express
4,e-0-4a6a0e3df964a5207dcc1fe3-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4a6a0e3df964a5207dcc1fe3,Sun Vin Grocery Store,75 Mulberry St,40.71628362630968,-73.99922579526901,"[{'label': 'display', 'lat': 40.71628362630968, 'lng': -73.99922579526901}, {'label': 'entrance', 'lat': 40.716288, 'lng': -73.999189}]",321,10013,US,New York,NY,United States,"['75 Mulberry St (btwn Canal & Bayard St)', 'New York, NY 10013', 'United States']","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Canal & Bayard St,,,,,,,,,Canal St,4-6-6 Express
5,e-0-4b5236c1f964a520427027e3-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b5236c1f964a520427027e3,Mulberry Meat Market,89 Mulberry St,40.716768291392775,-73.99878874967561,"[{'label': 'display', 'lat': 40.716768291392775, 'lng': -73.99878874967561}, {'label': 'entrance', 'lat': 40.716722, 'lng': -73.998922}]",297,10013,US,New York,NY,United States,"['89 Mulberry St (btwn Canal & Bayard St)', 'New York, NY 10013', 'United States']","[{'id': '4bf58dd8d48988d11d951735', 'name': 'Butcher', 'pluralName': 'Butchers', 'shortName': 'Butcher', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_butcher_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Canal & Bayard St,,,,,,,,,Canal St,4-6-6 Express
